Region,newdate,Deaths,Recoveries,Active,DeathRateCases
Algeria,2020-3-1,0,0,1,0
Algeria,2020-3-2,0,0,3,0
Algeria,2020-3-3,0,0,5,0
Algeria,2020-3-4,0,0,12,0
Algeria,2020-3-5,0,0,12,0
Algeria,2020-3-6,0,0,17,0
Algeria,2020-3-7,0,0,17,0
Algeria,2020-3-8,0,0,19,0
Algeria,2020-3-9,0,0,20,0
Algeria,2020-3-10,0,0,20,0
Algeria,2020-3-11,0,0,20,0
Algeria,2020-3-12,1,8,15,0.041666667
Andorra,2020-1-22,0,0,0,
Andorra,2020-1-23,0,0,0,
Andorra,2020-1-24,0,0,0,
Andorra,2020-1-25,0,0,0,
Andorra,2020-1-26,0,0,0,
Andorra,2020-1-27,0,0,0,
Andorra,2020-1-28,0,0,0,
Andorra,2020-1-29,0,0,0,
Andorra,2020-1-30,0,0,0,
Andorra,2020-1-31,0,0,0,
Andorra,2020-2-1,0,0,0,
Andorra,2020-2-2,0,0,0,
Andorra,2020-2-3,0,0,0,
Andorra,2020-2-4,0,0,0,
Andorra,2020-2-5,0,0,0,
Andorra,2020-2-6,0,0,0,
Andorra,2020-2-7,0,0,0,
Andorra,2020-2-8,0,0,0,
Andorra,2020-2-9,0,0,0,
Andorra,2020-2-10,0,0,0,
Andorra,2020-2-11,0,0,0,
Andorra,2020-2-12,0,0,0,
Andorra,2020-2-13,0,0,0,
Andorra,2020-2-14,0,0,0,
Andorra,2020-2-15,0,0,0,
Andorra,2020-2-16,0,0,0,
Andorra,2020-2-17,0,0,0,
Andorra,2020-2-18,0,0,0,
Andorra,2020-2-19,0,0,0,
Andorra,2020-2-20,0,0,0,
Andorra,2020-2-21,0,0,0,
Andorra,2020-2-22,0,0,0,
Andorra,2020-2-23,0,0,0,
Andorra,2020-2-24,0,0,0,
Andorra,2020-2-25,0,0,0,
Andorra,2020-2-26,0,0,0,
Andorra,2020-2-27,0,0,0,
Andorra,2020-2-28,0,0,0,
Andorra,2020-2-29,0,0,0,
Andorra,2020-3-1,0,0,0,
Andorra,2020-3-2,0,0,1,0
Andorra,2020-3-3,0,0,1,0
Andorra,2020-3-4,0,0,1,0
Andorra,2020-3-5,0,0,1,0
Andorra,2020-3-6,0,0,1,0
Andorra,2020-3-7,0,0,1,0
Andorra,2020-3-8,0,0,1,0
Andorra,2020-3-9,0,0,1,0
Andorra,2020-3-10,0,0,1,0
Andorra,2020-3-11,0,0,1,0
Andorra,2020-3-12,0,1,0,0
Argentina,2020-1-22,0,0,0,
Argentina,2020-1-23,0,0,0,
Argentina,2020-1-24,0,0,0,
Argentina,2020-1-25,0,0,0,
Argentina,2020-1-26,0,0,0,
Argentina,2020-1-27,0,0,0,
Argentina,2020-1-28,0,0,0,
Argentina,2020-1-29,0,0,0,
Argentina,2020-1-30,0,0,0,
Argentina,2020-1-31,0,0,0,
Argentina,2020-2-1,0,0,0,
Argentina,2020-2-2,0,0,0,
Argentina,2020-2-3,0,0,0,
Argentina,2020-2-4,0,0,0,
Argentina,2020-2-5,0,0,0,
Argentina,2020-2-6,0,0,0,
Argentina,2020-2-7,0,0,0,
Argentina,2020-2-8,0,0,0,
Argentina,2020-2-9,0,0,0,
Argentina,2020-2-10,0,0,0,
Argentina,2020-2-11,0,0,0,
Argentina,2020-2-12,0,0,0,
Argentina,2020-2-13,0,0,0,
Argentina,2020-2-14,0,0,0,
Argentina,2020-2-15,0,0,0,
Argentina,2020-2-16,0,0,0,
Argentina,2020-2-17,0,0,0,
Argentina,2020-2-18,0,0,0,
Argentina,2020-2-19,0,0,0,
Argentina,2020-2-20,0,0,0,
Argentina,2020-2-21,0,0,0,
Argentina,2020-2-22,0,0,0,
Argentina,2020-2-23,0,0,0,
Argentina,2020-2-24,0,0,0,
Argentina,2020-2-25,0,0,0,
Argentina,2020-2-26,0,0,0,
Argentina,2020-2-27,0,0,0,
Argentina,2020-2-28,0,0,0,
Argentina,2020-2-29,0,0,0,
Argentina,2020-3-1,0,0,0,
Argentina,2020-3-2,0,0,0,
Argentina,2020-3-3,0,0,1,0
Argentina,2020-3-4,0,0,1,0
Argentina,2020-3-5,0,0,1,0
Argentina,2020-3-6,0,0,2,0
Argentina,2020-3-7,0,0,8,0
Argentina,2020-3-8,1,0,11,0.083333333
Argentina,2020-3-9,1,0,11,0.083333333
Argentina,2020-3-10,1,0,16,0.058823529
Argentina,2020-3-11,1,0,18,0.052631579
Argentina,2020-3-12,1,0,18,0.052631579
Armenia,2020-1-22,0,0,0,
Armenia,2020-1-23,0,0,0,
Armenia,2020-1-24,0,0,0,
Armenia,2020-1-25,0,0,0,
Armenia,2020-1-26,0,0,0,
Armenia,2020-1-27,0,0,0,
Armenia,2020-1-28,0,0,0,
Armenia,2020-1-29,0,0,0,
Armenia,2020-1-30,0,0,0,
Armenia,2020-1-31,0,0,0,
Armenia,2020-2-1,0,0,0,
Armenia,2020-2-2,0,0,0,
Armenia,2020-2-3,0,0,0,
Armenia,2020-2-4,0,0,0,
Armenia,2020-2-5,0,0,0,
Armenia,2020-2-6,0,0,0,
Armenia,2020-2-7,0,0,0,
Armenia,2020-2-8,0,0,0,
Armenia,2020-2-9,0,0,0,
Armenia,2020-2-10,0,0,0,
Armenia,2020-2-11,0,0,0,
Armenia,2020-2-12,0,0,0,
Armenia,2020-2-13,0,0,0,
Armenia,2020-2-14,0,0,0,
Armenia,2020-2-15,0,0,0,
Armenia,2020-2-16,0,0,0,
Armenia,2020-2-17,0,0,0,
Armenia,2020-2-18,0,0,0,
Armenia,2020-2-19,0,0,0,
Armenia,2020-2-20,0,0,0,
Armenia,2020-2-21,0,0,0,
Armenia,2020-2-22,0,0,0,
Armenia,2020-2-23,0,0,0,
Armenia,2020-2-24,0,0,0,
Armenia,2020-2-25,0,0,0,
Armenia,2020-2-26,0,0,0,
Armenia,2020-2-27,0,0,0,
Armenia,2020-2-28,0,0,0,
Armenia,2020-2-29,0,0,0,
Armenia,2020-3-1,0,0,1,0
Armenia,2020-3-2,0,0,1,0
Armenia,2020-3-3,0,0,1,0
Armenia,2020-3-4,0,0,1,0
Armenia,2020-3-5,0,0,1,0
Armenia,2020-3-6,0,0,1,0
Armenia,2020-3-7,0,0,1,0
Armenia,2020-3-8,0,0,1,0
Armenia,2020-3-9,0,0,1,0
Armenia,2020-3-10,0,0,1,0
Armenia,2020-3-11,0,0,1,0
Armenia,2020-3-12,0,0,4,0
Australia,2020-1-22,0,0,0,
Australia,2020-1-23,0,0,0,
Australia,2020-1-24,0,0,0,
Australia,2020-1-25,0,0,0,
Australia,2020-1-26,0,0,4,0
Australia,2020-1-27,0,0,5,0
Australia,2020-1-28,0,0,5,0
Australia,2020-1-29,0,0,6,0
Australia,2020-1-30,0,2,7,0
Australia,2020-1-31,0,2,7,0
Australia,2020-2-1,0,2,10,0
Australia,2020-2-2,0,2,10,0
Australia,2020-2-3,0,2,10,0
Australia,2020-2-4,0,2,11,0
Australia,2020-2-5,0,2,11,0
Australia,2020-2-6,0,2,12,0
Australia,2020-2-7,0,2,13,0
Australia,2020-2-8,0,2,13,0
Australia,2020-2-9,0,2,13,0
Australia,2020-2-10,0,2,13,0
Australia,2020-2-11,0,2,13,0
Australia,2020-2-12,0,2,13,0
Australia,2020-2-13,0,8,7,0
Australia,2020-2-14,0,8,7,0
Australia,2020-2-15,0,8,7,0
Australia,2020-2-16,0,8,7,0
Australia,2020-2-17,0,10,5,0
Australia,2020-2-18,0,10,5,0
Australia,2020-2-19,0,10,5,0
Australia,2020-2-20,0,10,5,0
Australia,2020-2-21,0,11,8,0
Australia,2020-2-22,0,11,11,0
Australia,2020-2-23,0,11,11,0
Australia,2020-2-24,0,11,11,0
Australia,2020-2-25,0,11,11,0
Australia,2020-2-26,0,11,11,0
Australia,2020-2-27,0,11,12,0
Australia,2020-2-28,0,11,12,0
Australia,2020-2-29,0,11,7,0
Australia,2020-3-1,1,11,13,0.04
Australia,2020-3-2,1,11,16,0.035714286
Australia,2020-3-3,1,11,18,0.033333333
Australia,2020-3-4,2,11,29,0.047619048
Australia,2020-3-5,2,21,30,0.037735849
Australia,2020-3-6,2,21,33,0.035714286
Australia,2020-3-7,2,21,37,0.033333333
Australia,2020-3-8,3,21,40,0.046875
